StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PQ1,PQ2,PQ3,PQ4,PQ5,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q18,Q14,Q16,Q17,Q52,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q23,Q24,Q25,Q26#1_1,Q26#1_2,Q26#1_3,Q26#1_4,Q26#1_5,Q26#1_6,Q26#1_7,Q27,Q28,Q29,Q30,Q31,Q32,Q33#1_1,Q33#2_1,Q34#1_1,Q34#2_1,Q35#1_1,Q35#2_1,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q38_1,Q39_1,Q40_1,Q54,Q54_1,Q54_2,Q54_3,Q53_1,Q55_1,Q56_1,Q56_2,Q56_4,Q56_10,Q56_6,Q56_12,Q56_8,Q56_11,Q56_13,Q53,id,RandomID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I agree that I have had the opportunity to ask any questions prior to the beginning of the survey by contacting one of the teaching staff for PSYC121, e.g. t.beesley@lancs.ac.uk, or j.towse@lancs.ac.uk","I understand that I have the right to withdraw from this survey, without having to provide a reason, with no adverse consequences to myself.",I understand that the results of this survey may be used in future teaching reports. I understand that the redacted and anonymised data resulting from my participation may be made openly available to other teachers for the purpose of learning about analysis,I understand that my participation in this survey is confidential and no information that can be used to identify myself will be published,I consent to taking part in this survey,What is your age?,In which month were you born?,What is your gender identity?,How tall are you in centimetres?,"Within your family, were you:","Where is your non term-time address (i.e., where is ""home"" for you)?","Within the UK, where do you live?",What is your highest maths qualification?,How many different countries have you visited in the world?,Thinking about your maths skills in comparison to the other students taking this class would you say your own skills are likely to be:,Thinking about your conversational and social skills in comparison to the other students taking this class would you say they are likely to be:,"Without looking it up, what do you estimate is the median annual salary in the UK?","This is a picture of a cow, called Penelope, next to a man (who weighs 75 kg). How much do you think the cow weighs (in kg)?",I am interested in pursuing a Psychology module in parabanjology,"Imagine you are on a game-show and you win £300. The presenter gives you have a choice: receive an additional £100 for sure, or take a gamble offering a 50% chance to gain £200 and a 50% chance to gain nothing. Which would you choose?","Imagine you are on a different game-show and you win £500. Here you are given a choice between either losing £100 from your winnings for sure, or taking a gamble offering a 50% chance to lose nothing and a 50% chance to lose £200. Which would you choose?","How much do you think human activity contributes to climate change, as a percentage of overall climate change? Please enter a value between 0 (humans do not contribute to climate change at all) and 100 (human contribute entirely to climate change).","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Feeling nervous, anxious or on edge?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Not being able to stop or control worrying?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Worrying too much about different things?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Trouble relaxing?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Being so restless that it is hard to sit still?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Becoming easily annoyed or irritable?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Feeling afraid, as if something awful might happen",Control:,Compatible:,Incompatible:,"During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Facebook","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Instagram","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Twitter","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - TikTok","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Snapchat","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - YouTube","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Reddit",How many friends do you have on Facebook?,How many followers do you have on Instagram?,How many people do you follow on Instagram?,How many followers do you have on Twitter?,How many people do you follow on Twitter?,"What type of mobile phone do you have? If you have more than one phone, choose the one you use the most.","Think back over the past 7 days. Without trying to find out from your phone, try to estimate, on... - Hours - Estimated screen time","Think back over the past 7 days. Without trying to find out from your phone, try to estimate, on... - Minutes - Estimated screen time","Let's try and find out how much time you actually use your phone! For your iPhone, all you have t... - Hours - Average daily screen time","Let's try and find out how much time you actually use your phone! For your iPhone, all you have t... - Minutes - Average daily screen time",Let's try and find out how much time you actually use your phone! Android phones are all a little... - Hours - Average daily screen time,Let's try and find out how much time you actually use your phone! Android phones are all a little... - Minutes - Average daily screen time,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - Everything we need to know about living a moral life God has revealed to us.,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - What is morally good and right is what God says is good and right.,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - If you want to know how to live a moral life you should look to God.,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - Acts that are immoral are immoral because God forbids them.,MFDA scale. Please indicate with the radio buttons how you feel about these statements on a scale from 1 (strongly disagree) to 9 (strongly agree). - It is possible to live a righteous life without knowledge of God's laws.,"Your Professor at University has paired you with another classmate to work with on an assignment. The pairs were formed randomly, and although the Professor did not record who is working together, she states emphatically that she does not want anyone swapping partners. However, after class a classmate asks if you would be willing to switch partners. The classmate was assigned to work with a good friend of yours, and your assigned partner is a good friend of the classmate. If you disobey your Professor and switch partners, everyone will have a much more enjoyable time working on the project. Plus, everyone will be working with someone with whom they collaborate well, so everyone’s grades would probably end up being higher as well. The Professor would never find out that you switched partners, but you would be directly defying the Professor’s orders. In this situation, should you obey the Professor and refuse to switch partners, or disobey the Professor and switch partners? - Your feeling","You are the coach of a children’s soccer team. The morning of the big game, you realize that you forgot to reserve a field, which is your responsibility. You drive out to the local sports complex and see that none of the fields are being used. The security guard says that you cannot use a field unless you have reserved one ahead of time. You could tell the guard the truth, in which case the children will not get to play their game and will be very disappointed, or you could lie and tell the guard that you reserved the field a week ago, in which case the children will get to play their game. In this situation, should you tell the truth, or lie about having reserved the field? - Your feeling","You have a friend that suffers a great deal from poor self-esteem. She is particularly sensitive about her weight and her physical appearance. Recently, she cut her hair really short and you believe that it does not help her appearance at all. She asks you what you think of her new hairdo. In this situation, should you tell your friend the truth, or lie to spare her feelings? - Your feeling",Please select strongly agree to show that you are paying attention to this question,"Out of every 100 people in UK, about how many do you think: - Are Christian?","Out of every 100 people in UK, about how many do you think: - Are Muslim?","Out of every 100 people in UK, about how many do you think: - are over 65 years old?",What percentage of the UK population do you think are immigrants to this country (i.e. not born in UK? - Percentage of population who are immigrants,"In your opinion, what percentage of girls under 16 years of age in UK get pregnant each year? - Percentage of 15-19 year-olds who give birth","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Avoiding one long-distance flight (lasting six hours or more)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Buying energy only from renewable sources (e.g. wind power, hydro- electric)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Eating a plant-based diet","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Hang-drying their clothes, instead of using an electric or gas dryer)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Having one fewer child","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Not having a car","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Recycling as much as possible","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Replacing a typical car with an electric car or hybrid","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Replacing traditional incandescent lightbulbs with low energy compact fluorescent (CFL) or LED lightbulbs","If you had a choice, would you want to purchase items:",id,RandomID
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26#1_1""}","{""ImportId"":""QID26#1_2""}","{""ImportId"":""QID26#1_3""}","{""ImportId"":""QID26#1_4""}","{""ImportId"":""QID26#1_5""}","{""ImportId"":""QID26#1_6""}","{""ImportId"":""QID26#1_7""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33#1_1""}","{""ImportId"":""QID33#2_1""}","{""ImportId"":""QID34#1_1""}","{""ImportId"":""QID34#2_1""}","{""ImportId"":""QID35#1_1""}","{""ImportId"":""QID35#2_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_4""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_6""}","{""ImportId"":""QID63_7""}","{""ImportId"":""QID63_8""}","{""ImportId"":""QID63_9""}","{""ImportId"":""QID64""}","{""ImportId"":""id""}","{""ImportId"":""RandomID""}"
2022-10-07 17:25:50,2022-10-07 17:42:53,IP Address,148.88.245.184,100,1022,True,2022-10-07 17:42:53,R_1C2q9ROaMKgCXJI,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,April,Female,174,The oldest of my siblings,UK,"North East, England",GCSE grade A-C,10,A little above the average,Average,30000,375,Agree,receive £100 for sure,lose £100 for sure,97,More than half the days,Several days,More than half the days,More than half the days,Not at all,Not at all,Several days,5,3,7,0 days,0 days,0 days,0 days,5 days,7 days,0 days,,,,,,Android,4,30,,,4,15,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,5,1,7,strongly agree,60,9,18,9,1,3,2,5,8,1,4,7,6,9,in imperial units alongside a metric equivalent?,26060,855662
2022-10-10 22:54:36,2022-10-10 23:11:20,IP Address,148.88.245.103,100,1003,True,2022-10-10 23:11:20,R_vw3vBayqIOXAikh,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,October,Female,158,The oldest of my siblings,UK,"South East, England (inc. London)",A-Level Grade B / C,11,A little below average,A little above the average,28000,350,Agree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,93,Several days,More than half the days,More than half the days,,Nearly every day,Several days,Not at all,7,4,8,1 day,4 days,0 days,2 days,7 days,7 days,0 days,33,253,349,,,iPhone,5,45,5,45,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,6,6,9,strongly agree,60,15,30,30,17,4,5,3,6,1,7,8,2,9,in imperial units alongside a metric equivalent?,26042,174084
2022-10-11 08:40:16,2022-10-11 09:08:43,IP Address,86.164.36.62,100,1706,True,2022-10-11 09:08:44,R_21hYl2KIjXMCfMi,,,,,50.8388,-0.777,anonymous,EN,Yes,Yes,Yes,Yes,Yes,22,September,Female,165,A middle child (I had older and younger siblings),UK,"North West, England",GCSE grade A-C,10,A little below average,Average,30000,300,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,70,Several days,More than half the days,More than half the days,Not at all,Not at all,More than half the days,Several days,6.64,4.11,9.36,7 days,7 days,3 days,4 days,7 days,1 day,0 days,123,69,173,11,16,Android,17,0,,,5,30,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,7,3,9,strongly agree,60,20,20,50,15,2,1,7,9,3,4,6,5,8,in imperial units alongside a metric equivalent?,26059,179151
2022-10-11 11:03:42,2022-10-11 11:29:05,IP Address,148.88.245.216,100,1522,True,2022-10-11 11:29:06,R_3imwGl2RJHRp7fS,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,June,Female,162,The oldest of my siblings,UK,"North West, England",Other (not listed),6,Well below average,Average,20000,150,Disagree,receive £100 for sure,lose £100 for sure,90,More than half the days,Several days,More than half the days,Nearly every day,Not at all,Not at all,Several days,6,5,8,1 day,7 days,0 days,0 days,7 days,3 days,0 days,0,66,73,,,Android,4,45,,,5,30,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,6,3,9,strongly agree,20,30,44,40,23,7,1,2,8,3,4,9,5,6,in imperial units alongside a metric equivalent?,26034,329269
2022-10-11 12:15:04,2022-10-11 12:29:41,IP Address,148.88.245.107,100,877,True,2022-10-11 12:29:41,R_10IeiLF4QnyFZKe,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,July,Female,167,The oldest of my siblings,UK,"South East, England (inc. London)",A-Level Grade B / C,5,A little above the average,Average,25000,600,Strongly disagree,receive £100 for sure,lose £100 for sure,70,Several days,Several days,Several days,Several days,Not at all,Several days,Not at all,10,6,9,3 days,6 days,0 days,4 days,7 days,1 day,0 days,126,432,576,,,iPhone,4,30,5,15,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,6,3,7,strongly agree,19,8,38,32,11,5,2,3,9,8,6,7,1,4,in imperial units alongside a metric equivalent?,25909,319865
2022-10-11 11:49:46,2022-10-11 12:33:44,IP Address,148.88.245.163,100,2638,True,2022-10-11 12:33:45,R_2rD6n7Due43O1Ng,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,October,Prefer not to say,165,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,5,A little above the average,Average,50000,450,Agree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,88,Several days,More than half the days,Nearly every day,Nearly every day,Not at all,Several days,More than half the days,9,5,9,1 day,7 days,0 days,3 days,7 days,4 days,0 days,7,235,494,,,Android,7,30,,,5,0,...,...,Strongly disagree,Strongly disagree,...,3,2,8,strongly agree,30,60,72,40,20,1,4,3,7,8,2,9,6,5,in imperial units alongside a metric equivalent?,26062,708952
2022-10-11 12:20:48,2022-10-11 12:34:45,IP Address,148.88.245.163,100,836,True,2022-10-11 12:34:45,R_3sppnV8hD3M0TGl,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,May,Female,172,The oldest of my siblings,UK,"South East, England (inc. London)",GCSE grade A-C,7,Average,Well above average,30000,150,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,95,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Several days,4.55,4.68,5.73,0 days,7 days,0 days,7 days,7 days,5 days,0 days,,419,376,,,iPhone,5,15,4,30,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7,3,8,strongly agree,38,21,57,43,29,,,,,,,,,,in imperial units alongside a metric equivalent?,26000,185850
2022-10-11 12:27:48,2022-10-11 12:35:48,IP Address,148.88.245.93,100,480,True,2022-10-11 12:35:48,R_2qgv3GTtdV2dmyO,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,168,An only child,UK,"North West, England",GCSE grade A-C,6,Average,Average,25000,100,Disagree,receive £100 for sure,lose £100 for sure,70,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,10,15,20,1 day,7 days,7 days,7 days,7 days,4 days,0 days,305,937,698,555,713,iPhone,6,30,5,15,,,...,...,...,...,...,7,2,9,strongly agree,70,30,20,15,8,,,,,,,,,,in imperial units alongside a metric equivalent?,25986,764320
